t;ax;ay;az;gx;gy;gz;v;h;accelStatus;baroStatus
s;m/s^2;m/s^2;m/s^2;deg/s;deg/s;deg/s;m/s;m;;
21.369;7.27;2.87;-14.32;-39;-7;-4;-262.7796;-6.40;1;1
21.395;7.01;2.88;-13.74;-30;1;-16;-263.1368;-6.40;1;1
21.42;7.02;2.09;-12.72;-23;8;-35;-263.4548;-6.38;1;1
21.446;7.78;3.62;-13.26;-19;9;-30;-263.7996;-6.36;1;1
21.472;8.01;4.41;-13.45;-27;9;-21;-264.1493;-6.34;1;1
21.52;7.22;-5.01;-10.43;-45;5;-72;-264.6499;-6.30;1;1
21.545;8.09;7.9;-14.24;-49;-32;-111;-265.0059;-6.28;1;1
21.571;6.85;7.09;-14.93;-26;-44;31;-265.3941;-6.25;1;1
21.597;6.86;4.54;-15.44;-13;-41;14;-265.79560000000004;-6.25;1;1
21.622;6.47;3.54;-14.76;3;-15;9;-266.1646;-6.24;1;1
21.648;6.28;4.28;-14.36;-9;13;0;-266.53790000000004;-6.22;1;1
21.673;5.9;4.57;-13.84;-21;41;-10;-266.8839;-6.22;1;1
21.699;6.93;5.51;-13.61;-25;43;-18;-267.2378;-6.22;1;1
21.725;7.86;8.4;-16.44;-19;20;-8;-267.6652;-6.20;1;0
21.75;6.71;4.52;-14.62;18;5;24;-268.0307;-6.18;1;1
21.787;6.65;5.05;-14.19;27;0;2;-268.55580000000003;-6.16;1;1
21.813;6.88;5.25;-13.89;32;-8;0;-268.9169;-6.16;1;1
21.838;7.79;4.14;-13.65;8;6;6;-269.2582;-6.15;1;1
21.863;9.3;7.52;-13.02;9;-10;24;-269.58369999999996;-6.15;1;1
21.888;6.83;5.83;-13.17;9;-5;29;-269.91290000000004;-6.14;1;1
21.917;6.97;5.67;-13.59;-2;-3;25;-270.307;-6.12;1;1
21.943;6.97;4.83;-13.79;-9;9;18;-270.66560000000004;-6.12;1;1
21.968;7.05;4.86;-13.3;-16;18;14;-270.9848;-6.12;1;1
21.993;7.35;4.99;-13.3;-22;16;21;-271.3306;-6.12;1;1
22.019;6.92;4.53;-13.71;-23;16;18;-271.687;-6.12;1;1
22.052;7.3;4.21;-13.34;-25;16;10;-272.1272;-6.12;1;1
22.086;6.91;4.26;-13.05;-18;-3;15;-272.5709;-6.09;1;1
22.116;7.56;3.65;-13.26;-13;-18;18;-272.9687;-6.10;1;1
22.145;8.47;2.08;-13.05;-58;4;10;-273.3472;-6.09;1;1
22.175;8.45;2.86;-14.52;-31;0;16;-273.7828;-6.09;1;1
22.203;8.07;2.56;-13.23;-27;18;23;-274.14;-6.08;1;1
22.227;8.0;5.04;-12.5;-25;13;9;-274.4525;-6.08;1;1
22.253;7.56;2.34;-12.8;-19;0;25;-274.7725;-6.08;1;1
22.278;8.12;3.33;-13.39;-8;-4;28;-275.1206;-6.08;1;1
22.412;8.54;3.91;-14.68;26;-57;7;-277.0878;-0.32;1;1
22.444;7.85;3.37;-14.35;35;-31;1;-277.547;-0.32;1;1
22.47;7.12;3.63;-13.96;29;0;-6;-277.9099;-0.44;1;1
22.495;8.44;4.44;-12.54;0;0;-15;-278.2234;-0.44;1;1
22.52;7.18;3.04;-14.43;-13;-3;3;-278.5842;-6.92;1;1
22.545;9.59;3.3;-12.49;9;29;-3;-278.89639999999997;-6.89;1;1
22.57;8.44;5.57;-10.82;7;16;-1;-279.1669;-6.86;1;1
22.595;7.38;6.12;-12.84;-18;6;6;-279.4879;-6.86;1;1
22.621;7.64;4.13;-14.28;-29;-8;17;-279.8592;-6.85;1;1
22.645;7.48;3.82;-14.6;-26;0;8;-280.20959999999997;-6.82;1;1
22.671;8.7;3.54;-14.07;-21;-2;11;-280.5754;-6.79;1;1
22.695;7.99;2.77;-13.03;-30;8;18;-280.8881;-6.79;1;1
22.718;7.85;3.96;-13.02;-27;11;35;-281.1876;-6.76;1;1
22.744;6.02;4.16;-15.79;5;25;23;-281.5981;-6.73;1;1
22.769;7.03;4.13;-13.86;19;16;5;-281.9446;-6.72;1;1
22.794;7.9;3.61;-12.78;9;11;8;-282.2641;-6.72;1;1
22.819;8.46;3.28;-12.37;-3;15;24;-282.5734;-6.69;1;1
22.847;8.02;3.85;-11.93;-9;6;37;-282.9074;-6.65;1;1
22.872;7.78;3.92;-12.65;-12;6;26;-283.2237;-6.62;1;1
22.897;7.76;3.59;-12.35;-24;3;18;-283.5324;-6.62;1;1
22.922;7.26;2.46;-12.2;-19;9;2;-283.8374;-6.57;1;1
22.947;7.55;2.8;-13.31;-10;5;12;-284.1702;-6.55;1;1
22.981;7.98;2.68;-13.93;-5;3;20;-284.6438;-6.51;1;1
23.007;7.41;1.96;-12.57;-5;16;-2;-284.9706;-6.46;1;1
23.031;8.08;3.45;-11.41;-21;19;-16;-285.2445;-6.43;1;1
23.057;9.14;3.98;-13.06;-40;25;-15;-285.584;-6.43;1;1
23.082;8.75;2.43;-13.24;-29;31;-9;-285.915;-6.40;1;1
23.107;8.05;3.06;-12.49;-17;33;-22;-286.2273;-6.38;1;1
23.133;8.72;3.14;-13.02;-3;22;-20;-286.5658;-6.36;1;1
23.158;9.21;3.2;-13.03;0;23;-9;-286.8915;-6.36;1;1
23.183;7.75;4.31;-10.8;6;23;-7;-287.1615;-6.35;1;1
23.208;7.67;4.43;-11.04;6;13;2;-287.4375;-6.34;1;1
23.241;9.63;1.71;-11.98;-17;30;-8;-287.83279999999996;-6.34;1;1
23.267;6.13;3.62;-12.35;-14;26;-4;-288.1539;-6.34;1;1
23.291;5.7;2.86;-11.13;13;17;-16;-288.4211;-6.34;1;1
23.325;8.38;2.65;-12.46;22;-1;-23;-288.8447;-6.30;1;1
23.355;7.39;3.93;-11.26;3;11;-32;-289.1825;-6.29;1;1
23.385;6.71;4.71;-10.25;3;-8;-15;-289.49;-6.28;1;1
23.414;7.74;3.59;-11.39;11;-38;-8;-289.8203;-6.26;1;1
23.442;9.9;4.05;-12.5;32;-38;0;-290.1703;-6.25;1;1
23.467;9.44;5.34;-12.51;48;-16;2;-290.48310000000004;-6.25;1;1
23.492;10.09;4.84;-14.62;63;-18;19;-290.84860000000003;-6.25;1;1
23.526;9.08;4.72;-14.2;54;-5;9;-291.3314;-6.24;1;1
23.551;7.6;3.06;-13.39;29;12;-1;-291.6527;-6.22;1;1
23.576;6.92;2.0;-12.86;25;28;-22;-291.9871;-6.20;1;1
23.605;6.57;3.36;-11.13;59;30;-27;-292.3099;-6.18;1;1
23.629;4.42;4.8;-10.06;36;23;-53;-292.5513;-6.18;1;1
23.662;7.09;4.29;-11.5;7;-16;-30;-292.9193;-6.18;1;1
23.687;6.05;4.59;-13.01;11;-18;-28;-293.25759999999997;-6.18;1;1
23.712;5.23;4.18;-14.29;26;-38;-33;-293.6148;-6.16;1;1
23.738;8.28;5.19;-14.48;38;-22;-36;-293.9913;-6.15;1;1
23.763;8.6;4.79;-12.85;33;9;-18;-294.3125;-6.15;1;1
23.813;6.33;6.21;-11.19;-36;-3;-6;-294.872;-6.15;1;1
23.837;9.85;6.26;-12.38;-44;-2;-17;-295.1692;-6.15;1;1
23.863;8.14;3.05;-15.96;-20;13;-15;-295.5841;-6.15;1;1
23.888;6.81;3.92;-15.41;16;17;-9;-295.9694;-6.14;1;1
23.914;5.65;4.39;-12.96;30;24;-79;-296.3063;-6.14;1;1
23.94;7.47;8.44;-11.97;23;27;-41;-296.6175;-6.12;1;1
23.965;9.45;6.52;-11.67;8;14;26;-296.90930000000003;-6.12;1;1
23.991;6.43;4.99;-12.52;-7;16;29;-297.2348;-6.12;1;1
24.016;5.74;4.66;-12.06;-21;11;-4;-297.5243;-6.12;1;1
24.041;9.1;7.41;-10.57;-7;11;-43;-297.7991;-6.12;1;1
24.075;8.71;5.28;-13.78;39;32;-12;-298.26759999999996;-6.12;1;1
24.1;6.68;6.36;-12.9;56;53;-99;-298.5901;-6.14;1;1
24.126;4.42;7.43;-13.13;39;66;-153;-298.9315;-6.14;1;1
24.152;6.6;6.14;-10.97;20;71;-173;-299.2167;-6.12;1;1
24.177;5.94;7.67;-10.18;-6;54;-88;-299.4712;-6.10;1;1
24.311;3.06;7.1;-11.06;-36;-55;-49;-300.9532;-0.30;1;1
24.337;7.37;7.0;-11.65;-31;-35;-63;-301.2561;-0.30;1;1
24.362;7.84;6.87;-12.14;11;-25;-36;-301.5596;-0.30;1;1
24.388;4.94;7.6;-12.62;18;-6;12;-301.8877;-0.32;1;0
24.415;2.14;7.06;-11.59;6;4;-6;-302.1891;-6.73;1;1
24.447;3.94;8.5;-11.6;-6;-19;-17;-302.57189999999997;-6.69;1;1
24.473;5.98;9.34;-12.6;-4;-29;30;-302.8995;-6.66;1;1
24.607;6.1;6.16;-12.25;13;1;30;-304.541;-0.24;1;1
24.636;3.25;6.94;-10.51;2;-8;3;-304.8458;-0.24;1;1
24.67;5.17;6.9;-11.09;-9;-23;-25;-305.2228;-0.04;1;1
24.699;5.73;6.58;-11.71;-21;-15;-24;-305.5507;-6.65;1;1
24.838;4.7;6.47;-12.48;-3;-17;-16;-307.2979;-0.22;1;1
24.867;4.83;5.97;-12.24;4;-27;-14;-307.6529;-0.22;1;1
24.895;5.34;7.92;-11.56;-5;-27;-21;-307.9765;-0.31;1;1
24.921;5.1;7.45;-12.23;-2;-17;-6;-308.2945;-0.31;1;1
24.953;4.49;7.78;-12.37;3;-10;-11;-308.6904;-7.18;1;1
24.979;5.13;8.09;-11.91;-9;-23;-22;-309.0;-7.16;1;1
25.004;6.75;8.59;-12.98;-16;-21;-1;-309.3116;-7.12;1;1
25.029;6.25;7.29;-13.91;-17;1;10;-309.6732;-7.08;1;1
25.055;4.07;7.48;-11.48;-15;-20;11;-309.9717;-7.08;1;1
25.08;3.8;7.4;-10.64;-27;-38;-11;-310.2377;-7.03;1;1
25.105;6.56;7.97;-12.97;-13;-22;5;-310.5619;-6.99;1;1
25.13;6.57;6.83;-15.55;-11;30;8;-310.9507;-6.93;1;1
25.156;5.2;7.0;-12.95;20;42;11;-311.2874;-6.93;1;1
25.181;3.07;7.57;-9.58;5;16;-11;-311.5269;-6.89;1;1
25.214;5.27;7.8;-12.28;-28;-25;-12;-311.9321;-6.85;1;1
25.24;6.4;7.15;-13.9;-25;-9;11;-312.2796;-6.82;1;1
25.265;3.71;6.82;-11.67;-22;-4;11;-312.58299999999997;-6.78;1;1
25.29;3.33;6.44;-11.51;-16;-9;-23;-312.87080000000003;-6.78;1;1
25.316;6.42;8.84;-14.01;-2;-25;-3;-313.235;-6.75;1;0
25.341;5.66;9.58;-12.28;-11;-15;30;-313.54200000000003;-6.71;1;1
25.367;4.27;8.59;-11.18;-26;-9;22;-313.8327;-6.66;1;1
25.392;3.89;7.38;-12.23;-35;-15;4;-314.13849999999996;-6.62;1;1
25.417;5.98;7.22;-12.72;-34;-14;1;-314.4565;-6.62;1;1
25.443;6.35;6.32;-12.3;-24;7;2;-314.7763;-6.59;1;1
25.476;4.9;5.85;-11.87;-12;17;-12;-315.168;-6.56;1;1
25.501;4.1;6.68;-12.68;0;13;-23;-315.485;-6.53;1;1
25.635;4.57;8.61;-11.33;18;14;16;-317.0032;-0.44;1;1
25.663;5.18;7.71;-11.39;22;13;7;-317.3221;-0.44;1;1
25.689;4.9;7.81;-11.75;12;6;2;-317.6276;-0.27;1;1
25.714;4.4;6.9;-10.31;10;5;-2;-317.8854;-0.27;1;1
25.739;5.43;7.69;-10.99;32;13;10;-318.1601;-6.75;1;1
25.767;5.7;7.81;-12.23;44;23;17;-318.5026;-6.73;1;1
25.793;4.7;8.51;-11.99;32;21;17;-318.8143;-6.72;1;1
25.818;4.02;6.16;-11.26;16;0;3;-319.0958;-6.72;1;1
25.843;4.54;6.39;-12.0;14;-11;-22;-319.3958;-6.71;1;1
25.877;4.32;7.54;-12.14;13;-3;-48;-319.8086;-6.71;1;1
25.902;4.47;8.23;-13.04;7;6;-47;-320.1346;-6.69;1;1
25.927;3.89;8.65;-13.32;1;5;-55;-320.4676;-6.67;1;1
25.953;4.64;8.74;-13.63;18;13;-47;-320.822;-6.67;1;1
25.978;5.94;11.66;-14.71;33;-18;1;-321.1897;-6.65;1;1
26.011;5.34;9.53;-13.92;31;5;27;-321.6491;-6.61;1;1
26.041;6.32;8.65;-12.68;25;4;76;-322.0295;-6.57;1;1
26.07;7.87;6.51;-13.19;55;32;117;-322.41200000000003;-6.55;1;1
26.1;5.04;7.97;-15.57;70;92;104;-322.8791;-6.51;1;1
26.129;4.9;7.85;-13.07;40;125;91;-323.2581;-6.47;1;1
26.162;5.37;7.01;-12.52;-23;100;68;-323.67130000000003;-6.43;1;1
26.187;6.29;8.35;-7.01;-34;44;75;-323.8465;-6.43;1;1
26.213;6.52;4.59;-9.53;-24;-18;64;-324.0943;-6.40;1;0
26.238;6.36;4.94;-10.95;-21;10;36;-324.3681;-6.38;1;1
26.264;10.62;4.6;-10.97;-1;36;57;-324.6533;-6.36;1;1
26.29;8.24;5.24;-12.05;31;52;76;-324.96659999999997;-6.35;1;1
26.315;6.69;5.37;-11.08;34;51;55;-325.2436;-6.35;1;1
26.341;7.9;5.6;-12.32;0;42;33;-325.5639;-6.34;1;1
26.365;9.03;5.42;-12.7;-15;33;42;-325.8687;-6.34;1;1
26.391;7.2;6.05;-10.84;-5;36;48;-326.15049999999997;-6.32;1;1
26.44;8.05;5.2;-10.18;11;56;59;-326.6493;-6.30;1;1
26.466;5.94;4.69;-8.9;17;73;45;-326.8808;-6.28;1;1
26.493;7.27;2.33;-11.0;16;29;40;-327.1777;-6.26;1;1
26.519;7.64;2.69;-11.98;0;16;24;-327.4892;-6.26;1;1
26.545;8.32;-1.27;-10.4;-1;18;-2;-327.7596;-6.25;1;1
26.569;7.37;3.4;-8.89;-4;39;0;-327.973;-6.24;1;1
26.595;7.76;2.66;-8.23;10;45;4;-328.18690000000004;-6.22;1;1
26.62;6.67;2.91;-7.82;13;44;5;-328.3825;-6.22;1;1
26.646;4.2;2.82;-6.3;5;39;-22;-328.5462;-6.22;1;1
26.672;5.35;3.9;-8.52;5;30;-42;-328.76779999999997;-6.22;1;1
26.704;7.47;3.79;-10.75;49;33;-7;-329.1117;-6.20;1;1
26.73;5.71;5.78;-8.49;49;25;-11;-329.3325;-6.18;1;1
26.756;4.94;5.05;-5.87;-5;69;-66;-329.48510000000005;-6.18;1;1
26.781;8.99;3.03;-8.94;-58;95;-118;-329.7086;-6.16;1;0
26.807;7.14;6.13;-9.01;-86;142;-131;-329.9429;-6.16;1;1
26.832;7.14;7.36;-9.11;-89;168;-104;-330.1706;-6.15;1;1
26.968;6.98;7.35;-5.11;-7;-5;0;-330.8656;-0.09;1;1
26.992;5.15;6.02;-5.49;39;0;1;-330.99730000000005;-0.09;1;1
27.018;3.94;6.67;-4.75;49;17;-54;-331.12080000000003;-0.09;1;1
27.043;5.39;8.1;-4.56;20;8;-24;-331.2348;-0.40;1;1
27.069;5.28;7.79;-5.17;-4;-21;22;-331.3692;-6.78;1;0
27.104;4.14;6.35;-6.35;-9;0;25;-331.5915;-6.75;1;1
27.129;3.58;6.54;-5.46;-12;43;5;-331.728;-6.73;1;1
27.155;3.52;5.71;-4.37;-22;58;-4;-331.8373;-6.71;1;1
27.179;3.65;5.93;-4.25;-31;45;-12;-331.9435;-6.71;1;1
27.205;4.13;6.77;-4.77;-34;41;-2;-332.0675;-6.66;1;1
27.239;2.9;7.48;-4.31;-4;49;34;-332.21410000000003;-6.63;1;1
27.269;2.1;6.21;-3.51;19;27;41;-332.31940000000003;-6.61;1;1
27.298;3.08;5.08;-4.09;14;-9;19;-332.43800000000005;-6.57;1;1
27.328;3.98;6.03;-4.85;26;2;29;-332.58349999999996;-6.55;1;1
27.464;4.74;5.87;-4.63;-4;22;86;-333.2132;-0.57;1;1
27.497;4.41;4.33;-4.65;0;31;38;-333.36660000000006;-0.57;1;1
27.529;5.23;5.93;-5.48;-12;54;64;-333.5419;-0.42;1;1
27.553;4.08;5.08;-5.06;0;55;84;-333.66339999999997;-6.85;1;1
27.579;3.1;5.03;-3.74;13;53;67;-333.76059999999995;-6.85;1;1
27.604;4.08;3.97;-2.92;2;44;53;-333.8336;-6.82;1;1
27.629;5.67;6.26;-2.66;-2;29;49;-333.9001;-6.81;1;1
27.655;4.79;1.4;-0.55;-7;-1;61;-333.9144;-6.78;1;1
27.679;4.39;4.14;-5.64;21;10;62;-334.0498;-6.78;1;1
27.705;4.83;2.82;-5.75;33;26;57;-334.19919999999996;-6.75;1;1
27.732;4.89;3.5;-5.72;18;35;49;-334.3537;-6.71;1;1
27.766;5.9;2.27;-1.14;1;68;52;-334.3925;-6.69;1;1
27.791;0.59;2.19;1.88;49;-21;33;-334.3455;-6.65;1;1
27.816;4.25;4.59;-2.54;61;-107;53;-334.409;-6.65;1;1
27.842;6.31;4.19;-5.4;36;-71;42;-334.54940000000005;-6.61;1;0
27.868;5.05;7.9;-6.18;-3;0;81;-334.71;-6.57;1;1
27.892;6.95;3.37;-3.94;-13;27;67;-334.8046;-6.56;1;1
27.918;5.56;3.7;-3.17;-4;21;58;-334.88699999999994;-6.52;1;1
27.943;5.32;3.52;-3.43;-3;-2;54;-334.9728;-6.52;1;1
27.968;5.64;4.25;-4.71;4;-21;78;-335.0905;-6.47;1;1
27.994;5.37;2.76;-5.68;33;-23;121;-335.2382;-6.43;1;1
28.019;4.86;1.03;-4.67;63;-19;93;-335.355;-6.39;1;1
28.161;5.25;-1.77;-4.53;39;13;-11;-335.9982;-0.29;1;1
28.186;5.46;2.14;-4.25;19;34;-65;-336.1044;-0.29;1;1
28.212;7.41;4.1;-4.93;5;54;-41;-336.23260000000005;-0.29;1;1
28.237;6.54;3.41;-3.42;8;25;3;-336.31809999999996;-0.23;1;1
28.262;6.34;2.23;-3.62;27;-1;10;-336.4086;-6.67;1;1
28.287;9.29;3.22;-3.07;23;-37;41;-336.4854;-6.66;1;1
28.313;6.12;2.17;-2.38;-12;2;69;-336.5473;-6.66;1;1
28.338;5.73;0.94;-3.74;-16;-6;22;-336.6408;-6.65;1;1
28.363;5.63;1.75;-4.52;-14;10;-7;-336.75379999999996;-6.63;1;1
28.392;6.35;2.47;-4.89;-22;37;0;-336.8956;-6.61;1;1
28.425;5.69;0.83;-3.48;-30;41;-17;-337.0104;-6.59;1;1
28.45;5.5;2.18;-3.05;-29;25;-35;-337.0867;-6.56;1;1
28.476;6.24;3.74;-3.16;-27;17;3;-337.1688;-6.56;1;1
28.501;5.88;-0.26;-3.89;-36;13;4;-337.2622;-6.53;1;1
28.526;7.37;0.43;-6.66;-42;24;-18;-337.4353;-6.51;1;1
28.552;4.01;2.51;-6.07;-14;66;0;-337.5932;-6.49;1;1
28.584;6.17;4.14;-3.07;33;29;17;-337.6914;-6.45;1;1
28.614;5.0;-0.6;-2.95;13;4;-19;-337.7799;-6.40;1;1
28.644;5.63;3.27;-2.69;-16;34;-63;-337.8606;-6.40;1;1
28.675;5.09;3.23;-3.49;-35;33;13;-337.9688;-6.38;1;1
28.702;4.73;-0.04;-3.51;-43;2;3;-338.0636;-6.35;1;1
28.725;4.05;0.12;-4.06;-37;-7;-1;-338.157;-6.30;1;1
28.75;4.86;1.64;-2.08;-28;-13;34;-338.209;-6.28;1;1
28.776;4.61;0.03;-3.27;-30;-10;29;-338.29400000000004;-6.28;1;1
28.8;4.4;-3.43;-2.62;-35;-25;27;-338.3569;-6.26;1;1
28.826;1.63;-3.65;-2.03;-20;-40;0;-338.4097;-6.25;1;1
28.852;4.71;2.62;-3.08;-2;-33;1;-338.48980000000006;-6.22;1;1
28.877;3.95;1.77;-2.98;11;-5;-14;-338.56419999999997;-6.22;1;1
28.903;4.73;1.8;-3.77;39;-1;-29;-338.6623;-6.19;1;1
28.928;6.19;0.24;-2.68;65;-5;-24;-338.7266;-6.18;1;1
28.953;7.82;-2.66;-1.87;65;0;110;-338.7752;-6.15;1;1
29.002;5.95;0.46;-2.66;64;114;233;-338.9056;-6.14;1;1
29.028;6.57;-0.99;-2.86;47;122;165;-338.98;-6.12;1;1
29.053;4.78;0.06;-2.08;33;99;210;-339.0299;-6.10;1;1
29.078;2.98;-1.1;-1.78;4;90;204;-339.07620000000003;-6.10;1;1
29.104;3.45;0.69;-2.56;-3;78;115;-339.1427;-6.08;1;1
29.129;3.72;-0.77;-2.46;-3;53;94;-339.20419999999996;-6.05;1;1
29.155;3.16;-0.62;-2.1;-3;41;90;-339.25879999999995;-6.02;1;1
29.18;2.72;-0.63;-1.77;0;35;69;-339.3031;-6.02;1;1
29.208;2.77;-0.52;-1.65;1;14;11;-339.3493;-6.00;1;1
29.234;3.34;-1.58;-1.96;-1;-7;0;-339.4003;-5.99;1;1
29.267;2.56;-0.79;-1.65;6;-19;0;-339.4547;-5.96;1;1
29.293;2.71;-0.65;-1.79;15;-35;-35;-339.50120000000004;-5.95;1;1
29.318;3.27;-1.04;-2.14;14;-57;-49;-339.55480000000006;-5.93;1;1
29.343;4.49;-1.65;-2.03;11;-59;-35;-339.6055;-5.93;1;1
29.369;3.74;-0.79;-1.84;15;-32;-17;-339.6533;-5.93;1;1
29.394;3.87;-0.91;-2.19;13;-16;-7;-339.7081;-5.92;1;1
29.42;4.6;-1.0;-2.08;-1;-12;23;-339.7622;-5.90;1;1
29.446;4.62;-1.17;-2.2;-14;2;50;-339.81940000000003;-5.90;1;1
29.471;4.71;-1.1;-2.12;-23;19;53;-339.87239999999997;-5.90;1;1
29.497;4.19;-1.49;-2.07;-23;33;35;-339.92620000000005;-5.90;1;1
29.531;3.57;-1.41;-2.06;-20;33;39;-339.99620000000004;-5.90;1;1
29.558;3.4;-1.82;-2.07;-25;26;42;-340.0521;-5.89;1;1
29.584;3.2;-1.9;-1.97;-20;29;42;-340.1033;-5.89;1;1
29.609;3.05;-1.69;-1.95;-13;34;30;-340.1521;-5.89;1;1
29.635;3.02;-1.79;-2.06;-12;32;25;-340.2057;-5.88;1;1
29.661;2.89;-2.4;-1.93;-21;30;37;-340.2558;-5.88;1;1
29.686;2.73;-2.42;-1.64;-26;35;40;-340.29690000000005;-5.85;1;1
29.72;0.88;-3.67;-1.65;-21;39;26;-340.353;-5.85;1;1
29.75;1.61;-3.67;-0.89;27;8;2;-340.3797;-5.85;1;1
29.779;2.36;-1.54;-1.98;14;-2;-11;-340.4371;-5.86;1;1
29.819;2.63;-2.83;-1.77;-13;9;6;-340.5079;-5.86;1;1
29.845;0.89;-3.04;-1.9;-8;4;13;-340.5554;-5.86;1;1
29.87;0.86;-2.45;-2.15;-5;-17;-6;-340.61129999999997;-5.86;1;1
29.895;1.87;-1.5;-1.52;-5;-37;-19;-340.6493;-5.88;1;1
29.92;2.3;-3.37;-1.57;-4;-33;-15;-340.6885;-5.86;1;1
29.945;2.86;-3.29;-1.76;-7;-27;-10;-340.7325;-5.86;1;1
29.971;3.23;-2.44;-2.08;-7;-20;-6;-340.7866;-5.85;1;1
29.996;2.98;-2.4;-1.92;-4;-12;-5;-340.8327;-5.85;1;1
30.021;2.93;-2.82;-2.04;-2;-8;-5;-340.8857;-5.83;1;1
30.049;2.87;-2.7;-2.07;-1;-10;-16;-340.94370000000004;-5.83;1;1
30.074;3.33;-2.41;-1.78;-1;-6;-9;-340.9882;-5.82;1;1
30.108;2.56;-3.17;-2.01;-5;-3;-3;-341.05660000000006;-5.80;1;1
30.133;2.57;-2.63;-1.95;-4;-7;-17;-341.1053;-5.80;1;1
30.158;3.23;-2.35;-1.83;0;-3;-30;-341.151;-5.80;1;1
30.184;3.39;-2.4;-1.72;6;2;-27;-341.1958;-5.80;1;1
30.208;2.85;-2.56;-1.74;5;6;-10;-341.2375;-5.79;1;1
30.234;2.64;-2.4;-1.62;6;6;-16;-341.2796;-5.79;1;1
30.26;3.08;-3.16;-1.29;8;2;-30;-341.3132;-5.79;1;1
30.285;2.76;-2.77;-2.59;8;-4;-35;-341.37800000000004;-5.78;1;1
30.31;4.04;-0.83;-2.42;16;-12;-63;-341.4385;-5.78;1;1
30.335;2.44;-0.31;-3.0;12;-26;-49;-341.51349999999996;-5.78;1;1
30.369;3.36;-3.47;-1.89;-1;-25;-15;-341.5777;-5.78;1;1
30.394;3.35;-0.4;-0.6;5;0;15;-341.5927;-5.78;1;1
30.419;2.9;-2.2;-1.8;-9;18;33;-341.6377;-5.78;1;1
30.445;2.82;-1.97;-2.25;-24;23;36;-341.69620000000003;-5.78;1;1
30.47;3.15;-2.55;-2.22;-20;14;25;-341.75169999999997;-5.79;1;1
30.495;3.62;-3.16;-1.93;-7;4;23;-341.8;-5.79;1;1
30.521;3.2;-2.54;-2.04;0;5;28;-341.853;-5.79;1;1
30.545;2.7;-2.41;-1.89;-1;10;20;-341.8984;-5.79;1;1
30.571;2.52;-2.93;-1.78;0;6;6;-341.9447;-5.78;1;1
30.597;2.81;-2.87;-2.01;1;-2;4;-341.99690000000004;-5.78;1;1
30.629;3.28;-2.4;-2.19;0;-5;13;-342.06699999999995;-5.78;1;1
30.655;3.01;-2.74;-1.85;0;0;17;-342.11510000000004;-5.78;1;1
30.681;2.32;-2.88;-2.17;2;3;15;-342.17150000000004;-5.78;1;1
30.705;2.03;-2.68;-2.66;-2;0;6;-342.2353;-5.78;1;1
30.731;2.84;-2.84;-2.5;-4;-6;5;-342.3003;-5.76;1;1
30.756;3.55;-3.23;-2.23;3;-12;14;-342.3561;-5.78;1;1
30.781;3.41;-3.46;-1.9;7;-17;11;-342.4036;-5.78;1;1
30.806;2.83;-3.26;-2.04;3;-16;3;-342.45459999999997;-5.78;1;1
30.846;2.42;-3.5;-2.69;-2;-18;8;-342.5622;-5.79;1;1
30.876;2.94;-3.12;-2.39;-2;-15;10;-342.6339;-5.79;1;1
30.906;3.14;-2.82;-2.07;5;-11;2;-342.69599999999997;-5.80;1;1
30.947;2.39;-3.16;-2.1;8;-17;-11;-342.7821;-5.80;1;1
30.972;2.91;-3.53;-1.92;4;-28;-13;-342.8301;-5.82;1;1
30.998;3.01;-3.34;-2.11;6;-30;-11;-342.885;-5.80;1;1
31.023;3.31;-2.6;-2.38;8;-14;-15;-342.94449999999995;-5.80;1;1
31.048;3.41;-2.12;-2.56;9;-3;-15;-343.00849999999997;-5.80;1;1
31.074;4.02;-2.54;-2.24;3;-11;-10;-343.06669999999997;-5.80;1;1
31.099;3.62;-3.27;-1.8;3;-10;17;-343.1117;-5.80;1;1
31.125;3.23;-2.81;-1.74;5;-1;14;-343.1569;-5.80;1;1
31.15;2.81;-2.0;-2.72;1;-11;-12;-343.225;-5.80;1;1
31.175;2.06;-2.94;-2.54;23;-28;-23;-343.2885;-5.80;1;1
31.224;3.73;-2.44;-1.94;14;-17;-3;-343.38349999999997;-5.80;1;1
31.25;3.56;-3.3;-1.9;7;-11;9;-343.43300000000005;-5.80;1;1
31.274;3.53;-4.19;-1.89;-1;6;32;-343.4783;-5.82;1;1
31.303;3.25;-2.45;-2.16;-7;15;35;-343.541;-5.82;1;1
31.329;3.26;-2.7;-2.13;-6;5;20;-343.5964;-5.82;1;1
31.354;3.75;-3.35;-1.92;4;-2;10;-343.6444;-5.82;1;1
31.38;3.88;-3.04;-1.92;9;3;23;-343.6943;-5.82;1;1
31.404;3.47;-2.73;-2.19;-1;6;27;-343.74690000000004;-5.82;1;1
31.43;3.27;-3.4;-2.1;1;3;19;-343.80150000000003;-5.82;1;1
31.564;5.96;-5.23;6.93;-25;-15;-113;-342.8728;-0.22;1;1
